  V_V1                 , V(D1:1)              , V(V1:+)              
  -4.190000000000e+000  ,-4.189994017702e+000  ,-4.190000000000e+000  
  -4.180000000000e+000  ,-4.179994020048e+000  ,-4.180000000000e+000  
  -4.170000000000e+000  ,-4.169994022399e+000  ,-4.170000000000e+000  
  -4.160000000000e+000  ,-4.159994024751e+000  ,-4.160000000000e+000  
  -4.150000000000e+000  ,-4.149994027110e+000  ,-4.150000000000e+000  
  -4.140000000000e+000  ,-4.139994029469e+000  ,-4.140000000000e+000  
  -4.130000000000e+000  ,-4.129994031834e+000  ,-4.130000000000e+000  
  -4.120000000000e+000  ,-4.119994034200e+000  ,-4.120000000000e+000  
  -4.110000000000e+000  ,-4.109994036571e+000  ,-4.110000000000e+000  
  -4.100000000000e+000  ,-4.099994038944e+000  ,-4.100000000000e+000  
  -4.090000000000e+000  ,-4.089994041323e+000  ,-4.090000000000e+000  
  -4.080000000000e+000  ,-4.079994043703e+000  ,-4.080000000000e+000  
  -4.070000000000e+000  ,-4.069994046088e+000  ,-4.070000000000e+000  
  -4.060000000000e+000  ,-4.059994048476e+000  ,-4.060000000000e+000  
  -4.050000000000e+000  ,-4.049994050868e+000  ,-4.050000000000e+000  
  -4.040000000000e+000  ,-4.039994053263e+000  ,-4.040000000000e+000  
  -4.030000000000e+000  ,-4.029994055661e+000  ,-4.030000000000e+000  
  -4.020000000000e+000  ,-4.019994058063e+000  ,-4.020000000000e+000  
  -4.010000000000e+000  ,-4.009994060467e+000  ,-4.010000000000e+000  
  -4.000000000000e+000  ,-3.999994062877e+000  ,-4.000000000000e+000  
  -3.990000000000e+000  ,-3.989994065291e+000  ,-3.990000000000e+000  
  -3.980000000000e+000  ,-3.979994067706e+000  ,-3.980000000000e+000  
  -3.970000000000e+000  ,-3.969994070125e+000  ,-3.970000000000e+000  
  -3.960000000000e+000  ,-3.959994072548e+000  ,-3.960000000000e+000  
  -3.950000000000e+000  ,-3.949994074977e+000  ,-3.950000000000e+000  
  -3.940000000000e+000  ,-3.939994077407e+000  ,-3.940000000000e+000  
  -3.930000000000e+000  ,-3.929994079841e+000  ,-3.930000000000e+000  
  -3.920000000000e+000  ,-3.919994082278e+000  ,-3.920000000000e+000  
  -3.910000000000e+000  ,-3.909994084721e+000  ,-3.910000000000e+000  
  -3.900000000000e+000  ,-3.899994087165e+000  ,-3.900000000000e+000  
  -3.890000000000e+000  ,-3.889994089614e+000  ,-3.890000000000e+000  
  -3.880000000000e+000  ,-3.879994092068e+000  ,-3.880000000000e+000  
  -3.870000000000e+000  ,-3.869994094525e+000  ,-3.870000000000e+000  
  -3.860000000000e+000  ,-3.859994096984e+000  ,-3.860000000000e+000  
  -3.850000000000e+000  ,-3.849994099450e+000  ,-3.850000000000e+000  
  -3.840000000000e+000  ,-3.839994101916e+000  ,-3.840000000000e+000  
  -3.830000000000e+000  ,-3.829994104388e+000  ,-3.830000000000e+000  
  -3.820000000000e+000  ,-3.819994106864e+000  ,-3.820000000000e+000  
  -3.810000000000e+000  ,-3.809994109343e+000  ,-3.810000000000e+000  
  -3.800000000000e+000  ,-3.799994111825e+000  ,-3.800000000000e+000  
  -3.790000000000e+000  ,-3.789994114313e+000  ,-3.790000000000e+000  
  -3.780000000000e+000  ,-3.779994116804e+000  ,-3.780000000000e+000  
  -3.770000000000e+000  ,-3.769994119299e+000  ,-3.770000000000e+000  
  -3.760000000000e+000  ,-3.759994121797e+000  ,-3.760000000000e+000  
  -3.750000000000e+000  ,-3.749994124299e+000  ,-3.750000000000e+000  
  -3.740000000000e+000  ,-3.739994126806e+000  ,-3.740000000000e+000  
  -3.730000000000e+000  ,-3.729994129315e+000  ,-3.730000000000e+000  
  -3.720000000000e+000  ,-3.719994131832e+000  ,-3.720000000000e+000  
  -3.710000000000e+000  ,-3.709994134349e+000  ,-3.710000000000e+000  
  -3.700000000000e+000  ,-3.699994136872e+000  ,-3.700000000000e+000  
  -3.690000000000e+000  ,-3.689994139399e+000  ,-3.690000000000e+000  
  -3.680000000000e+000  ,-3.679994141928e+000  ,-3.680000000000e+000  
  -3.670000000000e+000  ,-3.669994144462e+000  ,-3.670000000000e+000  
  -3.660000000000e+000  ,-3.659994147000e+000  ,-3.660000000000e+000  
  -3.650000000000e+000  ,-3.649994149543e+000  ,-3.650000000000e+000  
  -3.640000000000e+000  ,-3.639994152089e+000  ,-3.640000000000e+000  
  -3.630000000000e+000  ,-3.629994154641e+000  ,-3.630000000000e+000  
  -3.620000000000e+000  ,-3.619994157195e+000  ,-3.620000000000e+000  
  -3.610000000000e+000  ,-3.609994159754e+000  ,-3.610000000000e+000  
  -3.600000000000e+000  ,-3.599994162316e+000  ,-3.600000000000e+000  
  -3.590000000000e+000  ,-3.589994164884e+000  ,-3.590000000000e+000  
  -3.580000000000e+000  ,-3.579994167456e+000  ,-3.580000000000e+000  
  -3.570000000000e+000  ,-3.569994170032e+000  ,-3.570000000000e+000  
  -3.560000000000e+000  ,-3.559994172611e+000  ,-3.560000000000e+000  
  -3.550000000000e+000  ,-3.549994175195e+000  ,-3.550000000000e+000  
  -3.540000000000e+000  ,-3.539994177785e+000  ,-3.540000000000e+000  
