  Frequency            , V(C1:2)              
  6.165950018615e+006  ,2.745947801721e-004  
  6.309573444802e+006  ,2.683442398826e-004  
  6.456542290346e+006  ,2.622359792593e-004  
  6.606934480076e+006  ,2.562667596219e-004  
  6.760829753920e+006  ,2.504334160110e-004  
  6.918309709189e+006  ,2.447328555109e-004  
  7.079457843841e+006  ,2.391620556090e-004  
  7.244359600750e+006  ,2.337180625934e-004  
  7.413102413009e+006  ,2.283979899872e-004  
  7.585775750292e+006  ,2.231990170175e-004  
  7.762471166287e+006  ,2.181183871200e-004  
  7.943282347243e+006  ,2.131534064776e-004  
  8.128305161641e+006  ,2.083014425920e-004  
  8.317637711027e+006  ,2.035599228876e-004  
  8.511380382024e+006  ,1.989263333481e-004  
  8.709635899561e+006  ,1.943982171830e-004  
  8.912509381337e+006  ,1.899731735251e-004  
  9.120108393559e+006  ,1.856488561579e-004  
  9.332543007970e+006  ,1.814229722710e-004  
  9.549925860214e+006  ,1.772932812449e-004  
  9.772372209558e+006  ,1.732575934628e-004  
  1.000000000000e+007  ,1.693137691496e-004  
