  Frequency            , V(C1:2)              
  2.089296130854e+002  ,4.255240616154e+000  
  2.137962089502e+002  ,4.227860555086e+000  
  2.187761623950e+002  ,4.199749114921e+000  
  2.238721138568e+002  ,4.170905645446e+000  
  2.290867652768e+002  ,4.141330819732e+000  
  2.344228815320e+002  ,4.111026683462e+000  
  2.398832919019e+002  ,4.079996699355e+000  
  2.454708915685e+002  ,4.048245786113e+000  
  2.511886431510e+002  ,4.015780351349e+000  
  2.570395782769e+002  ,3.982608317974e+000  
  2.630267991895e+002  ,3.948739143555e+000  
  2.691534803927e+002  ,3.914183832248e+000  
  2.754228703338e+002  ,3.878954938903e+000  
  2.818382931264e+002  ,3.843066565072e+000  
  2.884031503127e+002  ,3.806534346675e+000  
  2.951209226666e+002  ,3.769375433178e+000  
  3.019951720402e+002  ,3.731608458223e+000  
  3.090295432514e+002  ,3.693253501742e+000  
  3.162277660168e+002  ,3.654332043644e+000  
  3.235936569296e+002  ,3.614866909313e+000  
  3.311311214826e+002  ,3.574882207184e+000  
  3.388441561392e+002  ,3.534403258796e+000  
  3.467368504525e+002  ,3.493456521784e+000  
  3.548133892336e+002  ,3.452069506348e+000  
  3.630780547701e+002  ,3.410270685827e+000  
  3.715352290972e+002  ,3.368089402044e+000  
  3.801893963206e+002  ,3.325555766160e+000  
  3.890451449943e+002  ,3.282700555813e+000  
  3.981071705535e+002  ,3.239555109354e+000  
  4.073802778041e+002  ,3.196151217995e+000  
  4.168693834703e+002  ,3.152521016735e+000  
  4.265795188016e+002  ,3.108696874877e+000  
  4.365158322402e+002  ,3.064711286975e+000  
  4.466835921510e+002  ,3.020596765016e+000  
  4.570881896149e+002  ,2.976385732597e+000  
  4.677351412872e+002  ,2.932110421834e+000  
  4.786300923226e+002  ,2.887802773670e+000  
  4.897788193684e+002  ,2.843494342213e+000  
  5.011872336273e+002  ,2.799216203649e+000  
  5.128613839914e+002  ,2.754998870232e+000  
  5.248074602498e+002  ,2.710872209758e+000  
  5.370317963702e+002  ,2.666865370881e+000  
  5.495408738576e+002  ,2.623006714541e+000  
  5.623413251903e+002  ,2.579323751707e+000  
  5.754399373372e+002  ,2.535843087576e+000  
  5.888436553556e+002  ,2.492590372281e+000  
  6.025595860744e+002  ,2.449590258123e+000  
  6.165950018615e+002  ,2.406866363264e+000  
  6.309573444802e+002  ,2.364441241773e+000  
  6.456542290347e+002  ,2.322336359854e+000  
  6.606934480076e+002  ,2.280572078071e+000  
  6.760829753920e+002  ,2.239167639299e+000  
  6.918309709189e+002  ,2.198141162154e+000  
  7.079457843841e+002  ,2.157509639579e+000  
  7.244359600750e+002  ,2.117288942271e+000  
  7.413102413009e+002  ,2.077493826610e+000  
  7.585775750292e+002  ,2.038137946738e+000  
  7.762471166287e+002  ,1.999233870426e+000  
  7.943282347243e+002  ,1.960793098387e+000  
  8.128305161641e+002  ,1.922826086662e+000  
  8.317637711027e+002  ,1.885342271734e+000  
  8.511380382024e+002  ,1.848350098037e+000  
  8.709635899561e+002  ,1.811857047511e+000  
  8.912509381337e+002  ,1.775869670907e+000  
  9.120108393559e+002  ,1.740393620520e+000  
  9.332543007970e+002  ,1.705433684078e+000  
  9.549925860214e+002  ,1.670993819515e+000  
  9.772372209558e+002  ,1.637077190372e+000  
  1.000000000000e+003  ,1.603686201602e+000  
  1.023292992281e+003  ,1.570822535564e+000  
  1.047128548051e+003  ,1.538487188012e+000  
  1.071519305238e+003  ,1.506680503898e+000  
  1.096478196143e+003  ,1.475402212844e+000  
  1.122018454302e+003  ,1.444651464133e+000  
  1.148153621497e+003  ,1.414426861092e+000  
  1.174897554940e+003  ,1.384726494771e+000  
  1.202264434617e+003  ,1.355547976819e+000  
  1.230268770812e+003  ,1.326888471473e+000  
  1.258925411794e+003  ,1.298744726610e+000  
  1.288249551693e+003  ,1.271113103786e+000  
  1.318256738556e+003  ,1.243989607241e+000  
  1.348962882592e+003  ,1.217369911830e+000  
  1.380384264603e+003  ,1.191249389849e+000  
  1.412537544623e+003  ,1.165623136760e+000  
  1.445439770746e+003  ,1.140485995792e+000  
  1.479108388168e+003  ,1.115832581425e+000  
  1.513561248436e+003  ,1.091657301766e+000  
  1.548816618912e+003  ,1.067954379819e+000  
  1.584893192461e+003  ,1.044717873684e+000  
  1.621810097359e+003  ,1.021941695674e+000  
  1.659586907438e+003  ,9.996196304105e-001  
  1.698243652462e+003  ,9.777453518915e-001  
  1.737800828749e+003  ,9.563124395803e-001  
  1.778279410039e+003  ,9.353143935370e-001  
  1.819700858610e+003  ,9.147446486274e-001  
  1.862087136663e+003  ,8.945965878405e-001  
  1.905460717963e+003  ,8.748635547496e-001  
  1.949844599758e+003  ,8.555388651505e-001  
  1.995262314969e+003  ,8.366158179115e-001  
  2.041737944670e+003  ,8.180877050689e-001  
  2.089296130854e+003  ,7.999478212027e-001  
  2.137962089502e+003  ,7.821894721267e-001  
  2.187761623950e+003  ,7.648059829250e-001  
  2.238721138568e+003  ,7.477907053684e-001  
  2.290867652768e+003  ,7.311370247430e-001  
  2.344228815320e+003  ,7.148383661204e-001  
  2.398832919019e+003  ,6.988882001015e-001  
  2.454708915685e+003  ,6.832800480619e-001  
  2.511886431510e+003  ,6.680074869276e-001  
  2.570395782769e+003  ,6.530641535077e-001  
  2.630267991895e+003  ,6.384437484105e-001  
  2.691534803927e+003  ,6.241400395689e-001  
  2.754228703338e+003  ,6.101468653970e-001  
  2.818382931264e+003  ,5.964581376031e-001  
  2.884031503127e+003  ,5.830678436798e-001  
  2.951209226666e+003  ,5.699700490920e-001  
  3.019951720402e+003  ,5.571588991838e-001  
  3.090295432514e+003  ,5.446286208217e-001  
  3.162277660168e+003  ,5.323735237931e-001  
  3.235936569296e+003  ,5.203880019768e-001  
  3.311311214826e+003  ,5.086665343012e-001  
  3.388441561392e+003  ,4.972036855068e-001  
  3.467368504525e+003  ,4.859941067250e-001  
  3.548133892336e+003  ,4.750325358892e-001  
  3.630780547701e+003  ,4.643137979900e-001  
  3.715352290972e+003  ,4.538328051856e-001  
  3.801893963206e+003  ,4.435845567809e-001  
  3.890451449943e+003  ,4.335641390839e-001  
  3.981071705535e+003  ,4.237667251506e-001  
  4.073802778041e+003  ,4.141875744279e-001  
  4.168693834703e+003  ,4.048220323019e-001  
  4.265795188016e+003  ,3.956655295617e-001  
  4.365158322402e+003  ,3.867135817858e-001  
  4.466835921510e+003  ,3.779617886571e-001  
  4.570881896149e+003  ,3.694058332153e-001  
  4.677351412872e+003  ,3.610414810517e-001  
  4.786300923226e+003  ,3.528645794526e-001  
  4.897788193684e+003  ,3.448710564962e-001  
  5.011872336273e+003  ,3.370569201101e-001  
  5.128613839914e+003  ,3.294182570911e-001  
  5.248074602498e+003  ,3.219512320947e-001  
  5.370317963702e+003  ,3.146520865963e-001  
  5.495408738576e+003  ,3.075171378289e-001  
  5.623413251903e+003  ,3.005427777007e-001  
  5.754399373372e+003  ,2.937254716956e-001  
  5.888436553556e+003  ,2.870617577598e-001  
  6.025595860744e+003  ,2.805482451779e-001  
  6.165950018615e+003  ,2.741816134392e-001  
  6.309573444802e+003  ,2.679586110991e-001  
  6.456542290347e+003  ,2.618760546358e-001  
  6.606934480076e+003  ,2.559308273052e-001  
  6.760829753920e+003  ,2.501198779959e-001  
  6.918309709189e+003  ,2.444402200856e-001  
  7.079457843841e+003  ,2.388889303001e-001  
  7.244359600750e+003  ,2.334631475780e-001  
  7.413102413009e+003  ,2.281600719401e-001  
  7.585775750292e+003  ,2.229769633661e-001  
  7.762471166287e+003  ,2.179111406797e-001  
  7.943282347243e+003  ,2.129599804422e-001  
  8.128305161641e+003  ,2.081209158561e-001  
  8.317637711027e+003  ,2.033914356797e-001  
  8.511380382024e+003  ,1.987690831520e-001  
  8.709635899561e+003  ,1.942514549309e-001  
  8.912509381337e+003  ,1.898362000426e-001  
  9.120108393559e+003  ,1.855210188450e-001  
  9.332543007970e+003  ,1.813036620036e-001  
  9.549925860214e+003  ,1.771819294821e-001  
  9.772372209558e+003  ,1.731536695456e-001  
  1.000000000000e+004  ,1.692167777801e-001  
  1.023292992281e+004  ,1.653691961247e-001  
  1.047128548051e+004  ,1.616089119197e-001  
  1.071519305238e+004  ,1.579339569690e-001  
  1.096478196143e+004  ,1.543424066178e-001  
  1.122018454302e+004  ,1.508323788451e-001  
  1.148153621497e+004  ,1.474020333714e-001  
  1.174897554940e+004  ,1.440495707819e-001  
  1.202264434617e+004  ,1.407732316639e-001  
  1.230268770812e+004  ,1.375712957604e-001  
  1.258925411794e+004  ,1.344420811380e-001  
  1.288249551693e+004  ,1.313839433699e-001  
  1.318256738556e+004  ,1.283952747345e-001  
  1.348962882592e+004  ,1.254745034276e-001  
  1.380384264603e+004  ,1.226200927901e-001  
  1.412537544623e+004  ,1.198305405508e-001  
  1.445439770746e+004  ,1.171043780820e-001  
  1.479108388168e+004  ,1.144401696711e-001  
  1.513561248436e+004  ,1.118365118055e-001  
  1.548816618912e+004  ,1.092920324716e-001  
  1.584893192461e+004  ,1.068053904677e-001  
  1.621810097359e+004  ,1.043752747304e-001  
  1.659586907438e+004  ,1.020004036751e-001  
  1.698243652462e+004  ,9.967952454853e-002  
  1.737800828749e+004  ,9.741141279590e-002  
  1.778279410039e+004  ,9.519487143976e-002  
  1.819700858610e+004  ,9.302873047217e-002  
  1.862087136663e+004  ,9.091184625930e-002  
  1.905460717963e+004  ,8.884310095825e-002  
  1.949844599758e+004  ,8.682140194609e-002  
  1.995262314969e+004  ,8.484568126077e-002  
  2.041737944670e+004  ,8.291489505382e-002  
  2.089296130854e+004  ,8.102802305452e-002  
  2.137962089502e+004  ,7.918406804540e-002  
  2.187761623950e+004  ,7.738205534890e-002  
  2.238721138568e+004  ,7.562103232492e-002  
  2.290867652768e+004  ,7.390006787914e-002  
  2.344228815320e+004  ,7.221825198180e-002  
  2.398832919019e+004  ,7.057469519690e-002  
  2.454708915685e+004  ,6.896852822148e-002  
  2.511886431510e+004  ,6.739890143489e-002  
  2.570395782769e+004  ,6.586498445778e-002  
  2.630267991895e+004  ,6.436596572068e-002  
  2.691534803927e+004  ,6.290105204198e-002  
  2.754228703338e+004  ,6.146946821505e-002  
  2.818382931264e+004  ,6.007045660447e-002  
  2.884031503127e+004  ,5.870327675099e-002  
  2.951209226666e+004  ,5.736720498523e-002  
  3.019951720402e+004  ,5.606153404984e-002  
  3.090295432514e+004  ,5.478557272993e-002  
  3.162277660168e+004  ,5.353864549174e-002  
  3.235936569296e+004  ,5.232009212915e-002  
  3.311311214826e+004  ,5.112926741811e-002  
  3.388441561392e+004  ,4.996554077870e-002  
  3.467368504525e+004  ,4.882829594462e-002  
  3.548133892336e+004  ,4.771693064005e-002  
  3.630780547701e+004  ,4.663085626371e-002  
  3.715352290972e+004  ,4.556949757991e-002  
  3.801893963206e+004  ,4.453229241648e-002  
  3.890451449943e+004  ,4.351869136944e-002  
  3.981071705535e+004  ,4.252815751428e-002  
  4.073802778041e+004  ,4.156016612363e-002  
  4.168693834703e+004  ,4.061420439127e-002  
  4.265795188016e+004  ,3.968977116234e-002  
  4.365158322402e+004  ,3.878637666955e-002  
  4.466835921510e+004  ,3.790354227529e-002  
  4.570881896149e+004  ,3.704080021955e-002  
  4.677351412872e+004  ,3.619769337352e-002  
  4.786300923226e+004  ,3.537377499862e-002  
  4.897788193684e+004  ,3.456860851105e-002  
  5.011872336273e+004  ,3.378176725160e-002  
  5.128613839914e+004  ,3.301283426059e-002  
  5.248074602498e+004  ,3.226140205792e-002  
  5.370317963702e+004  ,3.152707242809e-002  
  5.495408738576e+004  ,3.080945620998e-002  
  5.623413251903e+004  ,3.010817309147e-002  
  5.754399373372e+004  ,2.942285140862e-002  
  5.888436553556e+004  ,2.875312794938e-002  
  6.025595860744e+004  ,2.809864776180e-002  
  6.165950018615e+004  ,2.745906396646e-002  
  6.309573444802e+004  ,2.683403757322e-002  
  6.456542290346e+004  ,2.622323730209e-002  
  6.606934480076e+004  ,2.562633940812e-002  
